Title,HackRF One
Revision,
Date,2020-09-06
Generated,Monday, 07 September 2020 at 11:33:54 am
Company,Copyright 2012-2018 Michael Ossmann
Comment 1,License: GPL v2
Comment 2,
Comment 3,
Comment 4,
Total Parts,417
Total Unique Parts,167
Generated Monday, 07 September 2020 at 11:33:54 am


Ref,Value,Footprint,Qty,Description,Manufacturer,Note,Note:,Part Number,
P17 ,GPO6,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P18 ,OEB,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P19 ,GPO3,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P20 ,GPIO,hackrf:GSG-HEADER-2x11,1,,CONN HEADER FMAL 22PS.1" DL GOLD,Sullins, , ,PPPC112LFBN-RC
P21 ,REF_IN,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P22 ,I2S,hackrf:GSG-HEADER-2x13,1,,CONN HEADER FMAL 26PS.1" DL GOLD,Sullins, , ,PPPC132LFBN-RC
P23 ,DBGEN,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P24 ,TRST,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P25 ,LPC_ISP,hackrf:GSG-HEADER-1x6,1,, , ,DNP, , 
P26 ,LPC_JTAG,hackrf:GSG-50MIL-HEADER-2x5-TH,1,,CONN HEADER .050" 10PS DL PCB AU,Sullins,DNP, ,GRPB052VWVN-RC
P27 ,MIXER_SDATA,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P28 ,SD,hackrf:GSG-HEADER-2x11,1,,CONN HEADER FMAL 22PS.1" DL GOLD,Sullins, , ,PPPC112LFBN-RC
P29 ,CPLD_JTAG,hackrf:GSG-HEADER-1x2,1,, , ,DNP, , 
P30 ,BANK2_AUX,hackrf:GSG-HEADER-2x10,1,, , ,DNP, , 
P31 ,MIXER_SCLK,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P32 ,MIXER_ENX,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P33 ,MIXER_RESETX,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P34 ,MIX_BYPASS,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P35 ,!MIX_BYPASS,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P36 ,VAA,hackrf:GSG-HEADER-1x2,1,, , ,DNP, , 
P37 ,SCL,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P38 ,SDA,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P39 ,SSP1_SCK,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
P40 ,SSP1_MOSI,hackrf:GSG-TESTPOINT-50MIL,1,, , ,DNP, , 
